barcode,name,brand,package_size,category
8718951543669,קרם פלמוליב חלב שקד750מל,קולגייט-פלמוליב,750 מיליליטר,Dairy
8718951543874,פלמוליב נטורלס חלב 750מל,קולגייט-פלמוליב,750 מיליליטר,Dairy
8718951561267,סבון ידיים חלב ודבש300מל,קולגייט-פלמוליב,300 מיליליטר,Sauces & Spreads
8718951592469,מי פה אופטיק וויט 500מל,קולגייט-פלמוליב,500 מיליליטר,Other
8718951610583,מש.שיניים ילדים בלואי50מ,קולגייט-פלמוליב,50 מיליליטר,Other
8718951626164,קולגייט מקס פרש כחול125מ,קולגייט-פלמוליב,125 מיליליטר,Other
8718951646407,פלמוליב ארומה סנסיישן750,קולגייט-פלמוליב,750 מיליליטר,Other
8718951689756,מש.שיניים טוטאל אקטיב100,---,100 מיליליטר,Other
8718951689848,מ.שיניים טוטאל הגנה 100מ,קולגייט-פלמוליב,100 מיליליטר,Other
8718951689985,מש.שיניים טוטאל הלבנה100,קולגייט-פלמוליב,100 מיליליטר,Other
8719200294448,"ויולייף בסיס צמחי 500מ""ל",פלורה,500 מיליליטר,Other
8719200997998,בלובנד עם מלח 200 גרם,---,200 גרם,Other
8719200998001,"מרגרינה בלובנד ללת""מ200ג",יוניליוור ישראל מזון,200 גרם,Other
8719200998018,מרגרינה בטעם חמאה200גרם,"מיוצר ע\""י יוניליוור ישר",200 גרם,Dairy
8719200998032,מזולה בטעם חמאה 250 גרם,"מיוצר ע\""י יוניליוור ישר",250 גרם,Dairy
8719200998094,מזולה לאפייה ללא מלח 200,"מיוצר ע\""י יוניליוור ישר",200 גרם,Other
8720181057946,דאו.אקס ספריי אפולו 150מ,יוניליוור אנגליה,150 מיליליטר,Other
8720181482748,אקס ספריי אקווה 150מל,יוניליוור אנגליה,150 מיליליטר,Other
8720181483219,אקס ספריי בלו לבנדר 150מ,יוניליוור אנגליה,150 מיליליטר,Other
8720181640506,ספריי גוף דאו בלאק150מל,יוניליוור UK,150 מיליליטר,Other
8720181640544,אקס ספריי גוף דאו 150 מל,יוניליוור UK,150 מיליליטר,Other
8720181673580,גל לניקוי אקונומיקה,יוניליוור נירבאטור הונגר,1250 מיליליטר,Other
8720181673603,סיף גל לניקוי אקו750,---,750 מיליליטר,Other
8720182253194,סבון מוצק דאב מלפפון6*90,יוניליוור גרמניה,540 גרם,Vegetables
8720182256362,אלסבון מוצק 3ב1 דאב6*90ג,יוניליוור גרמניה,540 גרם,Other
8720182556738,חרדל דיזון חלק 360 גרם,יוניליוור צרפת,360 גרם,Sauces & Spreads
8720182557452,חרדל דיזון גרגירים360גר,יוניליוור צרפת,360 גרם,Sauces & Spreads
8801055709472,נסקפה קפוצינו קלאסיק125ג,לוטה נסטלה קוריאה,125 גרם,Drinks
8801055724284,טייסטרס צויס בריסטה200ג,לוטה נסטלה קוריאה,200 גרם,Other
8802241132821,חטיף אצות 3יח*4.5 גרם,SAKHON WATTANA,13 גרם,Snacks
8802241136249,חטיף אצות ים 10יח*4גרם,---,40 גרם,Snacks
8802241900123,חטיף אצות ים אורגני9*4.5,---,40 גרם,Snacks
8802241902684,חטיף אצות נורי קלוי9*4.5,מאן גון פודס בעמ,40 גרם,Snacks
8850006536322,"פלמוליב גל רחצה 750מ""ל",קולגייט-פלמוליב,750 מיליליטר,Other
8850006536339,פלמוליב תמציות ורדים750מ,קולגייט פלמוליב,750 מיליליטר,Snacks
8850006536346,גל ארומה למון750 פלמוליב,קולגייט-פלמוליב,750 מיליליטר,Other
8850006955529,סב.פלמוליב ארומה מסאז750,קולגייט-פלמוליב,750 מיליליטר,Other
8850161161513,קוקו מקס מי קוקוס 1 ליטר,מאיטה פוד אינדוסטריאל קו,1 ליטר,Other
8850161161742,קוקו מקס חלב קוקוס 1 ליט,מאיטה פוד אינדוסטריאל קו,1 ליטר,Dairy
8850161166204,"קרם קוקוס 500 מ""ל",אמפווה,500 מיליליטר,Other
8850389105825,סאפה אלוורה טעם ענבים 1ל,סאפה פובליק קומפני לימיט,1 ליטר,Fruit
8850389105832,סאפה אלוורה ט.תפוחים 1ל,סאפה פובליק קומפני לימיט,1 ליטר,Fruit
8850389105849,סאפה אלוורה טעם אפרסק 1ל,סאפה פובליק קומפני לימיט,1 ליטר,Fruit
